Año,Escenario,Proyección,IC_95_inf,IC_95_sup,Tipo
2014,Histórico,135600,135600,135600,Histórico
2015,Histórico,147200,147200,147200,Histórico
2016,Histórico,163720,163720,163720,Histórico
2017,Histórico,175400,175400,175400,Histórico
2018,Histórico,183900,183900,183900,Histórico
2019,Histórico,191300,191300,191300,Histórico
2020,Histórico,196100,196100,196100,Histórico
2021,Histórico,188440,188440,188440,Histórico
2022,Histórico,212020,212020,212020,Histórico
2023,Histórico,212500,212500,212500,Histórico
2024,Pesimista,208119,191386,224899,Proyección
2025,Pesimista,218656,202065,235347,Proyección
2026,Pesimista,229136,212634,245490,Proyección
2027,Pesimista,239616,222863,256322,Proyección
2028,Pesimista,250096,233273,266651,Proyección
2029,Pesimista,260519,243688,277415,Proyección
2030,Pesimista,270884,254482,287411,Proyección
2024,Tendencial,211041,194235,227962,Proyección
2025,Tendencial,212301,195558,229119,Proyección
2026,Tendencial,213561,197120,229939,Proyección
2027,Tendencial,214593,198153,231353,Proyección
2028,Tendencial,215624,198824,232548,Proyección
2029,Tendencial,216483,199413,233156,Proyección
2030,Tendencial,217400,200592,234321,Proyección
2024,Optimista,212989,196248,229496,Proyección
2025,Optimista,196986,180559,213545,Proyección
2026,Optimista,180984,164327,197995,Proyección
2027,Optimista,164981,148141,181550,Proyección
2028,Optimista,148979,131752,165303,Proyección
2029,Optimista,132976,116381,149745,Proyección
2030,Optimista,116974,100094,133707,Proyección
